Codigo,Color,Escrituras,Nota
ANBOB,Anchor Blue Ocean Band,,1 usos
AST,Astrobot,,1 usos
BLA,Black,BLA|BLACK|Negro|bla|black|black keys|negro|teclas negras,42 usos
BLB,Blueberry,,3 usos
BLC,Black Alpine Loop M,,1 usos
BLMLL,Black Milanese Loop L,,1 usos
BLS,Blush,,1 usos
BLTLM,Blue Trail Loop M,,1 usos
BLU,Blue,BLU|blu,19 usos
CAM,Camo,,1 usos
CIT,Citrus,,3 usos
DAB,Dark Blue,,1 usos
DEDMW,Denim · Denim + Milky White Silicone,,1 usos
DET,Desert Titanium,,2 usos
GOL,Gold,,1 usos
GRA,Gray,Gris|cinza|grey|gris,17 usos
GRBBM,Graphite Black · Black Metal + Brown Leather,,1 usos
GRE,Green,GRE|gre,11 usos
GRGT,Graphite Green Transitions,,1 usos
GRP,Graphite,Grafito|garphite|grafito,5 usos
GRT,Grey Transitions,,1 usos
ICWWL,Ice White · White Leather + White Silicone,,1 usos
ICY,Icyblue,icy blue,2 usos
IND,Indigo,,1 usos
JEB,Jet Black,Jetblack,3 usos
LAO,Laurel Oak,,1 usos
LAV,Lavender,lavander,1 usos
LIG,Lightblue,light blue,2 usos
MAB,Matte Black,,1 usos
MEB,Metallic Black,,1 usos
MID,Midnight,,7 usos
MOSSM,Moonlit Silver · Silver Metal + Purple Silicone,,1 usos
NAMLL,Natural Milanese Loop L,,1 usos
NAT,Natural,,1 usos
NAV,Navy,,2 usos
NTR,Natural Titanium,,1 usos
ORA,Orange,,5 usos
PIN,Pink,PIN|pin,3 usos
PIS,Pistacho,,1 usos
POGG,Polarized Gradient Graphite,,2 usos
PUR,Purple,PUR|pur,6 usos
RED,Red,,1 usos
REG,Remix Green,,1 usos
RHB,Rhythm Blue,,1 usos
ROG,Rose Gold,,2 usos
ROSGG,Rose Gold · Gold Metal + White,,1 usos
SAG,Sage,,1 usos
SHB,Shiny Black,,4 usos
SHCG,Shiny Chalky Grey,shinny chalky grey,1 usos
SIL,Silver,SILVER|sil,21 usos
SKY,Skyblue,Sky Blue|sky blue,7 usos
SLV,Silverblue,,3 usos
SPB,Space Black,,17 usos
SPG,Space Gray,,9 usos
STA,Starlight,,5 usos
TEA,Teal,,1 usos
TER,Techno Red,,1 usos
TIBBL,Titan Black · Black Leather,,1 usos
TIGB,Titanio Gris · Blanco,,1 usos
TRA,Transitions Amethyst,,1 usos
TRG,Transitions Green,,1 usos
TRS,Transitions Sapphire,,1 usos
ULT,Ultramarine,,1 usos
VIO,Violet,violeta,4 usos
WHI,White,Blanco|WHI|blanco|teclas blancas|whi|whites,21 usos
WHT,Whitesilver,,3 usos
X01,Black Ceramic · Black Peach,,1 usos
X02,White Titanium,,1 usos
YEL,Yellow,,2 usos
